yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavalueunit,datavaluetype,datavalue,datavaluealt,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8,geolocation.latitude,geolocation.longitude,geolocation.human_address,datavaluefootnotesymbol,datavaluefootnote
2017,2017,RI,Rhode Island,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,8.0,8.0,5.2,12.3,Gender,Male,44,TOB,TOB2_1,CRDPREV,GENDER,GENM,27,2658,41.70828019300046,-71.52247031399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2013,2013,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,46.9,46.9,42.3,51.6,Gender,Male,28,ART,ART4_0,CRDPREV,GENDER,GENM,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2016,2016,KY,Kentucky,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Age-adjusted Prevalence,76.9,76.9,59.4,88.3,Race/Ethnicity,"Multiracial, non-Hispanic",21,CAN,CAN2_1,AGEADJPREV,RACE,MRC,36,235,37.645970271000465,-84.77497104799966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,KS,Kansas,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Age-adjusted Prevalence,53.2,53.2,50.3,56.0,Gender,Male,20,TOB,TOB3_0,AGEADJPREV,GENDER,GENM,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,ND,North Dakota,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,8.9,8.9,8.2,9.6,Race/Ethnicity,"White, non-Hispanic",38,OVC,OVC3_1,CRDPREV,RACE,WHT,3,568,47.47531977900047,-100.11842104899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2016,2016,ND,North Dakota,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,35.0,35.0,32.5,37.5,Gender,Male,38,DIS,DIS1_0,CRDPREV,GENDER,GENM,3,568,47.47531977900047,-100.11842104899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2016,2016,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,Number,Number,383,383,,,Overall,Overall,28,ALC,ALC6_0,NMBR,OVERALL,OVR,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,AZ,Arizona,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,23.6,23.6,22.5,24.8,Overall,Overall,04,ART,ART1_1,CRDPREV,OVERALL,OVR,7,986,34.865970280000454,-111.76381127699972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,IA,Iowa,NVSS,Asthma,Asthma mortality rate,,Number,41,41,,,Overall,Overall,19,AST,AST4_1,NMBR,OVERALL,OVR,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,CT,Connecticut,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,Number,736,736,,,Gender,Male,09,OLD,OLD1_0,NMBR,GENDER,GENM,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
