,year,locationabbr,locationdesc,datasource,category,indicator,response,data_value_unit,data_value_type,data_value,data_value_alt,low_confidence_limit,high_confidence_limit,number,weightednumber,stratificationcategory1,stratification1,categoryid,indicatorid,locationid,responseid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategory2,stratification2,stratificationcategoryid2,stratificationid2,geolocation,:@computed_region_hjsp_umg2,:@computed_region_skr5_azej,data_value_footnote_symbol,data_value_footnote
0,2016,HHS9,HHS Region 9,BRFSS,Demographics,Employment status among adults 18 years of age or older,Other,%,Age-adjusted Prevalence,27.5,27.5,25.0,30.2,1187.0,1004009.0,Disability Type,Cognitive Disability,DEMOG,JOB,88,JOB04,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
1,2016,GU,Guam,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,29.2,29.2,16.4,46.4,22.0,1937.0,Disability Type,Cognitive Disability,DEMOG,INCOMEN,66,INCOME01,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
2,2016,HHS2,HHS Region 2,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,31.8,31.8,28.1,35.6,1217.0,477854.0,Disability Type,Independent Living Disability,DEMOG,INCOMEN,81,INCOME01,AGEADJPREV,DISTYPE,INDDIS,,,,,,,,,
3,2016,HHS9,HHS Region 9,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Never Smoker,%,Age-adjusted Prevalence,53.2,53.2,48.9,57.3,2413.0,2211489.0,Disability Type,Mobility Disability,HLTHRB,SMOKE,88,SMOKE03,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
4,2016,GU,Guam,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Former Smoker,%,Prevalence,28.7,28.7,19.2,40.6,47.0,1771.0,Disability Status,No Disability,HLTHRB,SMOKE,66,SMOKE02,PREV,DISSTAT,NODIS,Age Group,65+,AGEGRP,AGE03,,,,,
5,2016,GU,Guam,BRFSS,Health Risks & Behaviors,Smoking status among adults 18 years of age or older,Former Smoker,%,Age-adjusted Prevalence,12.0,12.0,9.2,15.6,94.0,4822.0,Disability Status,No Disability,HLTHRB,SMOKE,66,SMOKE02,AGEADJPREV,DISSTAT,NODIS,Sex,Female,SEX,GENF,,,,,
6,2016,HHS8,HHS Region 8,BRFSS,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.0,4.0,3.6,4.3,827.0,268146.0,Disability Status,No Disability,HLTHRB,ECIG,87,YESNO01,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
7,2016,HHS8,HHS Region 8,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,28.7,28.7,25.3,32.4,1097.0,135219.0,Disability Type,Hearing Disability,HLTHRB,BMI,87,BMI04,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
8,2016,GU,Guam,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,No,%,Prevalence,58.8,58.8,48.9,68.1,106.0,6227.0,Disability Status,Any Disability,PREVENT,UTDCRC,66,YESNO02,PREV,DISSTAT,DISABL,,,,,,,,,
9,2016,HHS9,HHS Region 9,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,No,%,Prevalence,33.4,33.4,30.7,36.2,1655.0,1235688.0,Disability Status,Any Disability,PREVENT,UTDCRC,88,YESNO02,PREV,DISSTAT,DISABL,,,,,,,,,
10,2016,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.1,24.1,23.2,24.9,11320.0,2652061.0,Overall,Overall,DISEST,STATTYPE,86,Q6DIS1,AGEADJPREV,CAT1,BO1,,,,,,,,,
11,2016,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.0,12.0,11.7,12.4,9887.0,5204979.0,Overall,Overall,DISEST,STATTYPE,84,Q6MOB,AGEADJPREV,CAT1,BO1,,,,,,,,,
12,2016,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.0,4.0,3.4,4.7,610.0,95797.0,Disability Type,Self-care Disability,DISEST,AGEIND,80,AGE03,PREV,DISTYPE,SELFDIS,,,,,,,,,
