,year,stateabbr,statedesc,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,latitude,longitude,locationid,categoryid,measureid,datavaluetypeid,short_question_text
0,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,18.4,15.7,21.3,24541,34.22274803,-82.45881778,45001,PREVENT,ACCESS2,CrdPrv,Health Insurance
1,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,19.4,16.4,22.3,24541,34.22274803,-82.45881778,45001,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,34.1,32.8,35.4,24541,34.22274803,-82.45881778,45001,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
3,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,28.1,26.9,29.2,24541,34.22274803,-82.45881778,45001,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
4,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13.5,12.9,14.1,24541,34.22274803,-82.45881778,45001,UNHBEH,BINGE,CrdPrv,Binge Drinking
5,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,15.7,15.0,16.5,24541,34.22274803,-82.45881778,45001,UNHBEH,BINGE,AgeAdjPrv,Binge Drinking
6,2017,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,44.8,43.6,45.9,24541,34.22274803,-82.45881778,45001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
7,2017,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,38.5,37.4,39.6,24541,34.22274803,-82.45881778,45001,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
8,2017,SC,South Carolina,Abbeville,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,81.6,80.9,82.4,24541,34.22274803,-82.45881778,45001,PREVENT,BPMED,CrdPrv,Taking BP Medication
9,2017,SC,South Carolina,Abbeville,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,63.0,62.0,64.0,24541,34.22274803,-82.45881778,45001,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication
10,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.2,7.8,8.5,24541,34.22274803,-82.45881778,45001,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
11,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,6.1,6.6,24541,34.22274803,-82.45881778,45001,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
12,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.2,9.6,10.8,24541,34.22274803,-82.45881778,45001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
13,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.3,9.7,10.9,24541,34.22274803,-82.45881778,45001,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
