,jurisdiction,week_ending_date,state_abbreviation,mmwryear,mmwrweek,race_ethnicity,time_period,outcome,number_of_deaths,average_number_of_deaths,type,suppress,difference_from_2015_2019,percent_difference_from_2015,note
0,Alabama,2015-01-10T00:00:00.000,AL,2015,1,Hispanic,2015-2019,All Cause,10.0,8.0,Predicted (weighted),,,,
1,Alabama,2016-01-09T00:00:00.000,AL,2016,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
2,Alabama,2017-01-07T00:00:00.000,AL,2017,1,Hispanic,2015-2019,All Cause,12.0,8.0,Predicted (weighted),,,,
3,Alabama,2018-01-06T00:00:00.000,AL,2018,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
4,Alabama,2019-01-05T00:00:00.000,AL,2019,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
5,Alabama,2020-01-04T00:00:00.000,AL,2020,1,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
6,Alabama,2015-01-17T00:00:00.000,AL,2015,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
7,Alabama,2016-01-16T00:00:00.000,AL,2016,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
8,Alabama,2017-01-14T00:00:00.000,AL,2017,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
9,Alabama,2018-01-13T00:00:00.000,AL,2018,2,Hispanic,2015-2019,All Cause,14.0,8.0,Predicted (weighted),,,,
10,Alabama,2019-01-12T00:00:00.000,AL,2019,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
11,Alabama,2020-01-11T00:00:00.000,AL,2020,2,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,2.0,25.0,
12,Alabama,2015-01-24T00:00:00.000,AL,2015,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
13,Alabama,2016-01-23T00:00:00.000,AL,2016,3,Hispanic,2015-2019,All Cause,10.0,7.0,Predicted (weighted),,,,
14,Alabama,2017-01-21T00:00:00.000,AL,2017,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
15,Alabama,2018-01-20T00:00:00.000,AL,2018,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
16,Alabama,2019-01-19T00:00:00.000,AL,2019,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
17,Alabama,2020-01-18T00:00:00.000,AL,2020,3,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
18,Alabama,2015-01-31T00:00:00.000,AL,2015,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
19,Alabama,2016-01-30T00:00:00.000,AL,2016,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
20,Alabama,2017-01-28T00:00:00.000,AL,2017,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
21,Alabama,2018-01-27T00:00:00.000,AL,2018,4,Hispanic,2015-2019,All Cause,11.0,8.0,Predicted (weighted),,,,
22,Alabama,2019-01-26T00:00:00.000,AL,2019,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
23,Alabama,2020-01-25T00:00:00.000,AL,2020,4,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
24,Alabama,2015-02-07T00:00:00.000,AL,2015,5,Hispanic,2015-2019,All Cause,10.0,8.0,Predicted (weighted),,,,
25,Alabama,2016-02-06T00:00:00.000,AL,2016,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
26,Alabama,2017-02-04T00:00:00.000,AL,2017,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
27,Alabama,2018-02-03T00:00:00.000,AL,2018,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
28,Alabama,2019-02-02T00:00:00.000,AL,2019,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
29,Alabama,2020-02-01T00:00:00.000,AL,2020,5,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,2.0,25.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
30,Alabama,2015-02-14T00:00:00.000,AL,2015,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
31,Alabama,2016-02-13T00:00:00.000,AL,2016,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
32,Alabama,2017-02-11T00:00:00.000,AL,2017,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
33,Alabama,2018-02-10T00:00:00.000,AL,2018,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
34,Alabama,2019-02-09T00:00:00.000,AL,2019,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
35,Alabama,2020-02-08T00:00:00.000,AL,2020,6,Hispanic,2020,All Cause,11.0,11.0,Predicted (weighted),,4.0,57.1,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weights may be too low to account for underreporting, numbers of deaths are likely underestimated."
36,Alabama,2015-02-21T00:00:00.000,AL,2015,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
37,Alabama,2016-02-20T00:00:00.000,AL,2016,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
38,Alabama,2017-02-18T00:00:00.000,AL,2017,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
39,Alabama,2018-02-17T00:00:00.000,AL,2018,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
40,Alabama,2019-02-16T00:00:00.000,AL,2019,7,Hispanic,2015-2019,All Cause,10.0,6.0,Predicted (weighted),,,,
41,Alabama,2020-02-15T00:00:00.000,AL,2020,7,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
42,Alabama,2015-02-28T00:00:00.000,AL,2015,8,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
43,Alabama,2016-02-27T00:00:00.000,AL,2016,8,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
44,Alabama,2017-02-25T00:00:00.000,AL,2017,8,Hispanic,2015-2019,All Cause,14.0,7.0,Predicted (weighted),,,,
45,Alabama,2018-02-24T00:00:00.000,AL,2018,8,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
46,Alabama,2019-02-23T00:00:00.000,AL,2019,8,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
47,Alabama,2020-02-22T00:00:00.000,AL,2020,8,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,5.0,71.4,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
48,Alabama,2015-03-07T00:00:00.000,AL,2015,9,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
49,Alabama,2016-03-05T00:00:00.000,AL,2016,9,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
50,Alabama,2017-03-04T00:00:00.000,AL,2017,9,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
51,Alabama,2018-03-03T00:00:00.000,AL,2018,9,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
52,Alabama,2019-03-02T00:00:00.000,AL,2019,9,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
53,Alabama,2020-02-29T00:00:00.000,AL,2020,9,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
54,Alabama,2015-03-14T00:00:00.000,AL,2015,10,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
55,Alabama,2016-03-12T00:00:00.000,AL,2016,10,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
56,Alabama,2017-03-11T00:00:00.000,AL,2017,10,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
57,Alabama,2018-03-10T00:00:00.000,AL,2018,10,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
58,Alabama,2019-03-09T00:00:00.000,AL,2019,10,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
59,Alabama,2020-03-07T00:00:00.000,AL,2020,10,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
60,Alabama,2015-03-21T00:00:00.000,AL,2015,11,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
61,Alabama,2016-03-19T00:00:00.000,AL,2016,11,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
62,Alabama,2017-03-18T00:00:00.000,AL,2017,11,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
63,Alabama,2018-03-17T00:00:00.000,AL,2018,11,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
64,Alabama,2019-03-16T00:00:00.000,AL,2019,11,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
65,Alabama,2020-03-14T00:00:00.000,AL,2020,11,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
66,Alabama,2015-03-28T00:00:00.000,AL,2015,12,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
67,Alabama,2016-03-26T00:00:00.000,AL,2016,12,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
68,Alabama,2017-03-25T00:00:00.000,AL,2017,12,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
69,Alabama,2018-03-24T00:00:00.000,AL,2018,12,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
70,Alabama,2019-03-23T00:00:00.000,AL,2019,12,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
71,Alabama,2020-03-21T00:00:00.000,AL,2020,12,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,6.0,150.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
72,Alabama,2015-04-04T00:00:00.000,AL,2015,13,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
73,Alabama,2016-04-02T00:00:00.000,AL,2016,13,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
74,Alabama,2017-04-01T00:00:00.000,AL,2017,13,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
75,Alabama,2018-03-31T00:00:00.000,AL,2018,13,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
76,Alabama,2019-03-30T00:00:00.000,AL,2019,13,Hispanic,2015-2019,All Cause,13.0,6.0,Predicted (weighted),,,,
77,Alabama,2020-03-28T00:00:00.000,AL,2020,13,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
78,Alabama,2015-04-11T00:00:00.000,AL,2015,14,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
79,Alabama,2016-04-09T00:00:00.000,AL,2016,14,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
80,Alabama,2017-04-08T00:00:00.000,AL,2017,14,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
81,Alabama,2018-04-07T00:00:00.000,AL,2018,14,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
82,Alabama,2019-04-06T00:00:00.000,AL,2019,14,Hispanic,2015-2019,All Cause,13.0,7.0,Predicted (weighted),,,,
83,Alabama,2020-04-04T00:00:00.000,AL,2020,14,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
84,Alabama,2015-04-18T00:00:00.000,AL,2015,15,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
85,Alabama,2016-04-16T00:00:00.000,AL,2016,15,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
86,Alabama,2017-04-15T00:00:00.000,AL,2017,15,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
87,Alabama,2018-04-14T00:00:00.000,AL,2018,15,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
88,Alabama,2019-04-13T00:00:00.000,AL,2019,15,Hispanic,2015-2019,All Cause,11.0,7.0,Predicted (weighted),,,,
89,Alabama,2020-04-11T00:00:00.000,AL,2020,15,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
90,Alabama,2015-04-25T00:00:00.000,AL,2015,16,Hispanic,2015-2019,All Cause,11.0,7.0,Predicted (weighted),,,,
91,Alabama,2016-04-23T00:00:00.000,AL,2016,16,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
92,Alabama,2017-04-22T00:00:00.000,AL,2017,16,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
93,Alabama,2018-04-21T00:00:00.000,AL,2018,16,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
94,Alabama,2019-04-20T00:00:00.000,AL,2019,16,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
95,Alabama,2020-04-18T00:00:00.000,AL,2020,16,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
96,Alabama,2015-05-02T00:00:00.000,AL,2015,17,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
97,Alabama,2016-04-30T00:00:00.000,AL,2016,17,Hispanic,2015-2019,All Cause,10.0,7.0,Predicted (weighted),,,,
98,Alabama,2017-04-29T00:00:00.000,AL,2017,17,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
99,Alabama,2018-04-28T00:00:00.000,AL,2018,17,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
100,Alabama,2019-04-27T00:00:00.000,AL,2019,17,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
101,Alabama,2020-04-25T00:00:00.000,AL,2020,17,Hispanic,2020,All Cause,15.0,15.0,Predicted (weighted),,8.0,114.3,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
102,Alabama,2015-05-09T00:00:00.000,AL,2015,18,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
103,Alabama,2016-05-07T00:00:00.000,AL,2016,18,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
104,Alabama,2017-05-06T00:00:00.000,AL,2017,18,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
105,Alabama,2018-05-05T00:00:00.000,AL,2018,18,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
106,Alabama,2019-05-04T00:00:00.000,AL,2019,18,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
