,index,keywords,Num_of_Apperence,tf_idf
0,141,tags,411,-0.012032268650695812
1,41,protocol,384,-0.011115275860330093
2,139,slots,369,-0.010609784793284881
3,54,successful,131,-0.003110110284385996
4,83,collided,120,-0.0027981876794605305
5,71,total,119,-0.002770067718161219
6,182,value,115,-0.002657999931818094
7,17,bits,111,-0.0025466087156119136
8,82,equation,92,-0.002027545271580271
9,177,works,83,-0.0017881225199180958
10,28,tem,82,-0.0017618039347066913
11,29,ack,82,-0.0017618039347066913
12,108,result,78,-0.0016571298871108522
13,131,counter,78,-0.0016571298871108522
14,103,start,72,-0.0015020060571831367
15,101,data,70,-0.0014508287250404395
16,144,byte,70,-0.0014508287250404395
17,107,based,69,-0.0014253437435339934
18,10,new,65,-0.0013241188826195627
19,46,algorithm,63,-0.001273950776019776
20,84,iss,63,-0.001273950776019776
21,161,perform,57,-0.001125339756018933
22,26,process,56,-0.0011008614459234334
23,61,collisions,56,-0.0011008614459234334
24,100,propose,46,-0.0008611337243148521
25,120,method,45,-0.000837707861941922
26,156,iso,41,-0.0007451095914736837
27,6,active,40,-0.0007222494744814303
28,44,large,39,-0.0006995108535177909
29,45,random,39,-0.0006995108535177909
30,62,long,38,-0.0006768968407811003
31,187,length,36,-0.0006320559197887463
32,137,hardware,36,-0.0006320559197887463
33,40,rounds,34,-0.000587755128876485
34,184,better,31,-0.0005223872229710723
35,75,channel,29,-0.0004795845909562667
36,57,given,29,-0.0004795845909562667
37,96,authors,28,-0.0004584317524912663
38,195,contain,28,-0.0004584317524912663
39,192,require,27,-0.00043745239525412686
40,155,follow,26,-0.00041665293175916683
41,124,ern,25,-0.0003960402663068798
42,153,dissertation,25,-0.0003960402663068798
43,36,comparison,24,-0.0003756218537579525
44,133,identification,24,-0.0003756218537579525
45,68,called,23,-0.00035540576805225313
46,79,small,23,-0.00035540576805225313
47,69,select,23,-0.00035540576805225313
48,166,packet,20,-0.0002960632904377876
49,3,numbers,20,-0.0002960632904377876
50,138,world,20,-0.0002960632904377876
51,80,successfully,19,-0.0002767527760774739
52,140,commands,19,-0.0002767527760774739
53,7,like,19,-0.0002767527760774739
54,91,systems,18,-0.0002576976453441531
55,65,fast,18,-0.0002576976453441531
56,159,define,18,-0.0002576976453441531
57,168,improvement,17,-0.00023891202713237808
58,35,multiple,17,-0.00023891202713237808
59,58,produced,17,-0.00023891202713237808
60,173,uses,17,-0.00023891202713237808
61,2,parameter,17,-0.00023891202713237808
62,27,observe,17,-0.00023891202713237808
63,152,save,16,-0.0002204117019497511
64,127,layer,15,-0.00020221440889202794
65,49,best,14,-0.00018434023355925325
66,43,changed,14,-0.00018434023355925325
67,73,depend,14,-0.00018434023355925325
68,14,continue,13,-0.00016681210541797355
69,185,scanned,13,-0.00016681210541797355
70,189,noted,13,-0.00016681210541797355
71,174,anti,13,-0.00016681210541797355
72,104,faster,12,-0.00014965644604889673
73,9,frames,12,-0.00014965644604889673
74,1,reduced,11,-0.00013290403004695943
75,136,item,11,-0.00013290403004695943
76,160,constant,11,-0.00013290403004695943
77,25,definition,10,-0.00011659115331085543
78,154,increases,10,-0.00011659115331085543
79,78,transmitting,10,-0.00011659115331085543
80,4,gives,9,-0.00010076125891342029
81,169,overall,9,-0.00010076125891342029
82,59,signals,9,-0.00010076125891342029
83,66,makes,8,-8.546726805316243e-05
84,149,overhead,8,-8.546726805316243e-05
85,167,readers,8,-8.546726805316243e-05
86,31,transmissions,7,-7.077504311220978e-05
87,99,factor,7,-7.077504311220978e-05
88,13,unique,7,-7.077504311220978e-05
89,5,receiving,7,-7.077504311220978e-05
90,67,technology,6,-5.676876161140037e-05
91,48,implementation,5,-4.355972200761558e-05
92,111,wireless,5,-4.355972200761558e-05
93,56,steps,5,-4.355972200761558e-05
94,188,decreased,5,-4.355972200761558e-05
95,176,coding,5,-4.355972200761558e-05
96,171,energy,4,-3.130182114649604e-05
97,70,ended,4,-3.130182114649604e-05
98,23,phases,4,-3.130182114649604e-05
99,165,seconds,4,-3.130182114649604e-05
100,115,showed,4,-3.130182114649604e-05
101,145,models,4,-3.130182114649604e-05
102,116,internal,4,-3.130182114649604e-05
103,180,importance,4,-3.130182114649604e-05
104,87,provides,4,-3.130182114649604e-05
105,15,radio,4,-3.130182114649604e-05
106,172,achieves,3,-2.0221440889202796e-05
107,130,gets,3,-2.0221440889202796e-05
108,72,reads,3,-2.0221440889202796e-05
109,98,enhancements,3,-2.0221440889202796e-05
110,11,assuming,3,-2.0221440889202796e-05
111,190,costs,3,-2.0221440889202796e-05
112,194,standards,3,-2.0221440889202796e-05
113,53,partial,3,-2.0221440889202796e-05
114,38,secure,3,-2.0221440889202796e-05
115,163,completes,3,-2.0221440889202796e-05
116,74,collected,3,-2.0221440889202796e-05
117,105,big,3,-2.0221440889202796e-05
118,142,remained,2,-1.0683408506645304e-05
119,178,chapters,2,-1.0683408506645304e-05
120,147,researches,2,-1.0683408506645304e-05
121,135,initiates,2,-1.0683408506645304e-05
122,134,thanks,2,-1.0683408506645304e-05
123,175,checks,2,-1.0683408506645304e-05
124,129,versions,2,-1.0683408506645304e-05
125,186,mac,2,-1.0683408506645304e-05
126,97,designer,2,-1.0683408506645304e-05
127,76,presenting,2,-1.0683408506645304e-05
128,109,simulate,2,-1.0683408506645304e-05
129,112,schemes,2,-1.0683408506645304e-05
130,51,mediums,2,-1.0683408506645304e-05
131,94,symbols,2,-1.0683408506645304e-05
132,118,sized,2,-1.0683408506645304e-05
133,20,ranging,2,-1.0683408506645304e-05
134,121,predicts,2,-1.0683408506645304e-05
135,64,utilizing,2,-1.0683408506645304e-05
136,123,accessing,2,-1.0683408506645304e-05
137,55,pointed,2,-1.0683408506645304e-05
138,37,engine,2,-1.0683408506645304e-05
139,63,timing,1,-3.3702401482004663e-06
140,52,calculations,1,-3.3702401482004663e-06
141,50,marking,1,-3.3702401482004663e-06
142,162,detects,1,-3.3702401482004663e-06
143,42,checkout,1,-3.3702401482004663e-06
144,33,tse,1,-3.3702401482004663e-06
145,34,differs,1,-3.3702401482004663e-06
146,81,stated,1,-3.3702401482004663e-06
147,179,techniques,1,-3.3702401482004663e-06
148,181,inversions,1,-3.3702401482004663e-06
149,22,queried,1,-3.3702401482004663e-06
150,18,including,1,-3.3702401482004663e-06
151,16,examples,1,-3.3702401482004663e-06
152,12,estimating,1,-3.3702401482004663e-06
153,191,determination,1,-3.3702401482004663e-06
154,39,communicating,1,-3.3702401482004663e-06
155,158,identifier,1,-3.3702401482004663e-06
156,0,committee,1,-3.3702401482004663e-06
157,117,compares,1,-3.3702401482004663e-06
158,85,informed,1,-3.3702401482004663e-06
159,143,optimization,1,-3.3702401482004663e-06
160,148,needing,1,-3.3702401482004663e-06
161,92,representing,1,-3.3702401482004663e-06
162,151,possibilities,1,-3.3702401482004663e-06
163,110,elimination,1,-3.3702401482004663e-06
164,122,efficiently,1,-3.3702401482004663e-06
165,86,frequencies,1,-3.3702401482004663e-06
166,119,page,0,0.0
167,19,yoon,0,0.0
168,30,rfids,0,0.0
169,128,tquery trn,0,0.0
170,8,china,0,0.0
171,21,epcglobal,0,0.0
172,114,analysis fixed,0,0.0
173,183,bis,0,0.0
174,24,ernx ernxp,0,0.0
175,113,computing,0,0.0
176,193,electronics,0,0.0
177,132,iiss,0,0.0
178,157,tables,0,0.0
179,102,general,0,0.0
180,106,networking,0,0.0
181,95,dynamically adjusts,0,0.0
182,146,dbq,0,0.0
183,47,abu,0,0.0
184,93,aloha fsa,0,0.0
185,170,baloch,0,0.0
186,150,figure,0,0.0
187,60,epc,0,0.0
188,164,retes,0,0.0
189,90,loptimal,0,0.0
190,89,japan,0,0.0
191,126,dean,0,0.0
192,77,tahir,0,0.0
193,88,tscan,0,0.0
194,32,queryrep,0,0.0
195,125,conference,0,0.0
